> tier,category,lang,anchor,phrase,notes
# ===========================================================================
# phraseguard/phrases.csv — the scam-script corpus.
#
# Loaded by phraseguard/matcher.py. Hot-reloaded on mtime change and on
# SIGHUP; no daemon restart and certainly no Asterisk restart. Nothing in
# here is duplicated in source — this file is the only place phrases live.
#
# Lines beginning with '#' are comments. The header line above is prefixed
# with '> ' so that the column order is self-describing without being
# mistaken for data.
#
# COLUMNS
#   tier      A  disconnect on a single confident match (when enforcing)
#             B  score only; two distinct B categories in a 90s window, or
#                one B plus an A-near, raises a B threshold event
#             C  suppressor; reduces B score in the same window, never fires
#                anything on its own
#             X  exclusion; vetoes any A/B match overlapping its token span.
#                These are legitimate insurance qualification questions that
#                sit inside the edit distance of a Tier A phrase.
#   category  A1..A8, B1..B6, C1..C2, X1. Category is the unit the B scorer
#             counts distinct hits over, so it is load-bearing, not a label.
#   lang      en | ur | es. The daemon loads only the languages named in
#             PHRASEGUARD_LANGS (default "en"). The ur rows below are a SEED
#             FOR NATIVE-SPEAKER REVIEW and are deliberately not loaded by
#             default — see the header comment above the ur block.
#   anchor    how this phrase is matched. See matcher.py for the rules.
#             brand  1-2 token distinctive proper/product noun. Matched
#                    phonetically (Double Metaphone over the span with
#                    whitespace removed) so "anydesk" / "any desk" /
#                    "anydisk" / "any disc" are one entry, not four.
#             pair   exactly 2 tokens, a distinctive collocation that is not
#                    a proper noun. Fuzzy, but at a tighter threshold than
#                    seq because two tokens leave little room to be wrong in.
#             seq    3+ tokens. Fuzzy token-sequence match with a Levenshtein
#                    budget proportional to phrase length.
#   phrase    the phrase, in ordinary spelling. Normalisation (lowercasing,
#             punctuation, digit/word folding) happens at load time — write
#             it the way a person would say it.
#   notes     free text. Anything marked DEMOTE-CANDIDATE is a phrase whose
#             tokens are individually common enough that shadow mode is
#             expected to be the thing that decides whether it survives.
#
# THE ANCHOR COLUMN IS NOT DECORATION. The brief's rule is "a single common
# token is never a Tier A phrase; every A entry is either a distinctive brand
# noun or a phrase of three or more words." anchor is how that rule is made
# checkable instead of remembered: tools/phraseguard-lint.py refuses a Tier A
# row whose anchor and token count disagree, and refuses a brand/pair row
# built only out of common English words. A corpus edit that breaks the rule
# fails the lint rather than quietly widening what gets disconnected.
#
# HOW TO DEMOTE A PHRASE. Shadow mode will produce Tier A phrases that fire
# on legitimate insurance traffic. The brief's instruction is to demote them,
# not to tune around them: change tier A -> B on that row and leave everything
# else alone. Do not raise a threshold to silence one phrase — thresholds are
# global and that trades a false positive here for a miss everywhere else.
# ===========================================================================

# ---------------------------------------------------------------------------
# TIER A1 — remote access software.
# No consumer cold call has a legitimate reason to name these. An insurance
# agent never needs to see the prospect's screen.
# ---------------------------------------------------------------------------
A,A1,en,brand,anydesk,brand noun; phonetic match also covers "any desk"/"anydisk"/"any disc"
A,A1,en,brand,any desk,spelled-apart form; same metaphone code as anydesk
A,A1,en,brand,ultraviewer,
A,A1,en,brand,ultra viewer,
A,A1,en,brand,teamviewer,
A,A1,en,brand,team viewer,
A,A1,en,brand,logmein,
A,A1,en,seq,log me in,DEMOTE-CANDIDATE — three common tokens; watch this one in shadow
A,A1,en,brand,gotoassist,
A,A1,en,seq,go to assist,spelled-apart twin: 'gotoassist' is not in the Vosk lexicon
A,A1,en,brand,screenconnect,
A,A1,en,pair,screen connect,spelled-apart twin: 'screenconnect' is not in the Vosk lexicon
A,A1,en,pair,connectwise control,
A,A1,en,brand,splashtop,
A,A1,en,pair,splash top,spelled-apart twin: 'splashtop' is not in the Vosk lexicon
A,A1,en,pair,zoho assist,
A,A1,en,pair,ammyy admin,
A,A1,en,pair,ami admin,'ammyy' is not in the Vosk lexicon; 'ami' is what it will emit
A,A1,en,brand,aeroadmin,
A,A1,en,pair,aero admin,spelled-apart twin: 'aeroadmin' is not in the Vosk lexicon
A,A1,en,brand,rustdesk,
A,A1,en,pair,rust desk,spelled-apart twin: 'rustdesk' is not in the Vosk lexicon
A,A1,en,brand,dwservice,
A,A1,en,seq,d w service,spelled-apart twin: 'dwservice' is not in the Vosk lexicon
A,A1,en,pair,supremo remote,
A,A1,en,pair,quick assist,DEMOTE-CANDIDATE — "quick assist" occurs as ordinary English
A,A1,en,seq,chrome remote desktop,
A,A1,en,seq,remote desktop connection,
A,A1,en,seq,install the software I send you,
A,A1,en,seq,download the application from that link,
A,A1,en,seq,give me the nine digit id,digit/word folding makes "9 digit" and "nine digit" one phrase
A,A1,en,seq,allow the connection on your screen,

# ---------------------------------------------------------------------------
# TIER A2 — gift card payment.
# A gift card is never a payment instrument on a legitimate sales call, in
# either direction. This is the least ambiguous category in the corpus.
# ---------------------------------------------------------------------------
A,A2,en,pair,gift card,
A,A2,en,pair,gift cards,
A,A2,en,seq,google play card,
A,A2,en,seq,apple gift card,
A,A2,en,pair,itunes card,
A,A2,en,pair,steam card,
A,A2,en,pair,vanilla card,
A,A2,en,pair,vanilla reload,
A,A2,en,brand,moneypak,
A,A2,en,pair,money pak,spelled-apart twin: 'moneypak' is not in the Vosk lexicon
A,A2,en,seq,green dot card,
A,A2,en,seq,target gift card,
A,A2,en,seq,walmart gift card,
A,A2,en,seq,best buy gift card,
A,A2,en,seq,ebay gift card,
A,A2,en,seq,sephora gift card,
A,A2,en,pair,razer gold,
A,A2,en,pair,razor gold,'razer' is not in the Vosk lexicon; 'razor' is the homophone it will emit
A,A2,en,seq,scratch off the back,
A,A2,en,seq,read me the numbers on the back,
A,A2,en,seq,the code on the back of the card,
A,A2,en,seq,peel the silver strip,
A,A2,en,seq,buy them in denominations of,

# ---------------------------------------------------------------------------
# TIER A3 — crypto and cash conversion.
# Kiosk brands survive a language switch untranslated, which is most of why
# this category keeps its value against an Urdu or Punjabi script.
# ---------------------------------------------------------------------------
A,A3,en,pair,bitcoin atm,
A,A3,en,pair,crypto atm,
A,A3,en,pair,bitcoin depot,
A,A3,en,brand,coinme,
A,A3,en,pair,coin me,spelled-apart twin: 'coinme' is not in the Vosk lexicon
A,A3,en,brand,rockitcoin,
A,A3,en,seq,rock it coin,spelled-apart twin: 'rockitcoin' is not in the Vosk lexicon
A,A3,en,pair,athena bitcoin,
A,A3,en,brand,coinstar,
A,A3,en,pair,wallet address,
A,A3,en,seq,scan the qr code at the machine,
A,A3,en,seq,convert your funds,
A,A3,en,pair,gold bars,
A,A3,en,seq,purchase precious metals,
A,A3,en,seq,a courier will collect the cash,
A,A3,en,seq,our courier will come to your address,
A,A3,en,seq,put the cash in a shoebox,
A,A3,en,seq,hand the package to our agent,

# ---------------------------------------------------------------------------
# TIER A4 — wire and cash-out under instruction.
# ---------------------------------------------------------------------------
A,A4,en,brand,western union,
A,A4,en,brand,moneygram,
A,A4,en,seq,wire the funds today,
A,A4,en,pair,cashiers check,apostrophe is stripped at normalisation; written bare to match
A,A4,en,seq,certified check made out to,
A,A4,en,seq,withdraw the cash from your account,
A,A4,en,pair,safe account,DEMOTE-CANDIDATE — two common tokens; the A4 anchor is the instruction around it
A,A4,en,seq,federal safe account,
A,A4,en,seq,government protected account,
A,A4,en,seq,we will hold the money for you,
A,A4,en,pair,secure locker,

# ---------------------------------------------------------------------------
# TIER A5 — government impersonation and legal threat.
# These translate cleanly, so an Urdu-script floor makes this category
